Item,"As displayed, or the figure",The issue,Basis
1. MP since,Aug 2012,The Parliament record shows 2013 (T1).,Sourced
2. Work,Programmer Officer — CDTF,"Typo: M&E Officer, CDTF, 1997–2004 (T1).",Sourced
3. Work,Forms of government — Economist,"Autofill error: Economist, Ministry of Planning & Finance, 1991–1997 (T1).",Sourced
4. Current city,Nairobi,A standing 'absentee' attack line for a county aspirant.,Sourced
5. Education,Kenyatta University,"The PhD in Economics, the credential the positioning rests on, is missing.",Sourced
6. Bio,Incoming Governor Kitui County 2027,Presumes a nomination that has not happened.,Sourced
Reach against the vote map,"[DATA NEEDED — Meta Insights export, Week 1]",—,Data needed
"Ninety days, coded","[DATA NEEDED — Meta Insights export, Week 1]",—,Data needed
Which language travels,"[DATA NEEDED — Meta Insights export, Week 1]",—,Data needed
Him against the field,"[DATA NEEDED — Meta Insights export, Week 1]",—,Data needed
