Race,Candidate,Votes,Basis
"Governor, 2017","Charity Ngilu, winner",169990,Sourced
"Governor, 2017",David Musila,114827,Sourced
"Governor, 2017",Julius Malombe,74681,Sourced
"Governor, 2022","Julius Malombe, winner",198004,Sourced
"Governor, 2022","David Musila, per Nation and Standard",117606,Sourced
"Governor, 2022","David Musila, per The Star",114606,Sourced
"Governor, 2022",Jonathan Mueke,10639,Sourced
"Senator, 2022","Enoch Wambua, winner",191317,Sourced
"Woman Representative, 2022","Irene Kasalu, winner",201899,Sourced
"Kitui Central MP, 2022","Dr. Mulu, winner","[DATA NEEDED — IEBC Form 35B, Kitui Central MP 2022]",Data needed
